96, 998, 331, 1004, 396
106, 978, 333, 984, 393
114, 964, 333, 970, 392
124, 945, 333, 951, 393
133, 929, 333, 935, 394
140, 916, 333, 922, 392
150, 902, 332, 908, 392
192, 828, 331, 834, 390
196, 820, 331, 826, 392
241, 753, 328, 759, 389
251, 735, 327, 741, 389
266, 715, 326, 721, 388
281, 695, 323, 701, 386
338, 614, 320, 620, 379
349, 601, 319, 607, 377
385, 551, 314, 557, 372
402, 528, 312, 534, 373
414, 514, 311, 520, 369
426, 500, 311, 506, 373
501, 404, 308, 410, 369
517, 388, 307, 394, 368
536, 366, 306, 372, 369
554, 348, 308, 354, 365
584, 319, 308, 325, 371
619, 285, 308, 291, 369
661, 248, 309, 254, 373
